Filename,Teff,Logg,Mass,NUV,FUV,EUV
M4.Teff=3200.logg=5.1.TRgrad=7.5.cmtop=5.5.cmin=3.5.7.gz.fits,3200,5.1,0.175,2903269277063.380,922272238581.6340,16461149993142.80
M4.Teff=3200.logg=5.1.TRgrad=7.5.cmtop=5.5.cmin=3.7.gz.fits,3200,5.1,0.175,3119160689210.390,964114119197.8350,16462595315595.300
M4.Teff=3200.logg=5.1.TRgrad=7.5.cmtop=5.5.cmin=4.5.7.gz.fits,3200,5.1,0.175,1051019564567.6000,505019793159.61300,16291670866082.800
M4.Teff=3200.logg=5.1.TRgrad=7.5.cmtop=5.5.cmin=4.7.gz.fits,3200,5.1,0.175,1729129308857.850,672283235395.126,16401693907161.40
M4.Teff=3200.logg=5.1.TRgrad=7.5.cmtop=5.cmin=3.5.7.gz.fits,3200,5.1,0.175,6684259907003.71,3007538716222.020,95902394927215.00
M4.Teff=3200.logg=5.1.TRgrad=7.5.cmtop=5.cmin=3.7.gz.fits,3200,5.1,0.175,8178217741913.370,3294513301465.4900,96067982041774.60
M4.Teff=3200.logg=5.1.TRgrad=7.5.cmtop=5.cmin=4.7.gz.fits,3200,5.1,0.175,3077445733995.9500,2259498442323.41,94779026692381.50
M4.Teff=3200.logg=5.1.TRgrad=7.5.cmtop=6.5.cmin=3.5.7.gz.fits,3200,5.1,0.175,775391317079.512,156670027141.39700,1804073026953.7800
M4.Teff=3200.logg=5.1.TRgrad=7.5.cmtop=6.5.cmin=3.7.gz.fits,3200,5.1,0.175,797383488997.8350,157692732523.1410,1803880829344.300
M4.Teff=3200.logg=5.1.TRgrad=7.5.cmtop=6.5.cmin=4.5.7.gz.fits,3200,5.1,0.175,552716355841.3080,112863097473.72100,1799098062349.030
M4.Teff=3200.logg=5.1.TRgrad=7.5.cmtop=6.5.cmin=4.7.gz.fits,3200,5.1,0.175,740796465507.445,153279135087.50700,1801985995549.9800
M4.Teff=3200.logg=5.1.TRgrad=7.5.cmtop=6.5.cmin=5.5.7.gz.fits,3200,5.1,0.175,382176732708.6100,69552770491.47080,1790957514806.5700
