Filename,Teff,Logg,Mass,NUV,FUV,EUV
M4.Teff=3200.logg=5.1.TRgrad=7.5.cmtop=6.5.cmin=5.7.gz.fits,3200,5.1,0.175,449820254503.8700,87283228660.59100,1795153310651.330
M4.Teff=3200.logg=5.1.TRgrad=7.5.cmtop=6.cmin=3.5.7.gz.fits,3200,5.1,0.175,1487859196476.8100,397177136226.1980,5674178515863.230
M4.Teff=3200.logg=5.1.TRgrad=7.5.cmtop=6.cmin=3.7.gz.fits,3200,5.1,0.175,1532783458832.7100,402760871399.1460,5670084424568.340
M4.Teff=3200.logg=5.1.TRgrad=7.5.cmtop=6.cmin=4.5.7.gz.fits,3200,5.1,0.175,768635542008.9180,237957706520.54500,5648727052253.990
M4.Teff=3200.logg=5.1.TRgrad=7.5.cmtop=6.cmin=4.7.gz.fits,3200,5.1,0.175,1184491116538.7900,331243508926.2760,5664719316050.440
M4.Teff=3200.logg=5.1.TRgrad=7.5.cmtop=6.cmin=5.7.gz.fits,3200,5.1,0.175,613172499379.9180,190355540693.22900,5626354175293.710
M4.Teff=3200.logg=5.1.TRgrad=8.5.cmtop=5.5.cmin=3.5.7.gz.fits,3200,5.1,0.175,635105530291.1580,91496566176.2265,1035908732900.500
M4.Teff=3200.logg=5.1.TRgrad=8.5.cmtop=5.5.cmin=3.7.gz.fits,3200,5.1,0.175,707767416198.429,96981545368.83740,1035120635416.0900
M4.Teff=3200.logg=5.1.TRgrad=8.5.cmtop=5.5.cmin=4.5.7.gz.fits,3200,5.1,0.175,537524808790.09000,97761464450.7097,1037241305279.9900
M4.Teff=3200.logg=5.1.TRgrad=8.5.cmtop=5.5.cmin=4.7.gz.fits,3200,5.1,0.175,513639798909.41,87232606369.91990,1036657183326.8200
M4.Teff=3200.logg=5.1.TRgrad=8.5.cmtop=5.cmin=3.5.7.gz.fits,3200,5.1,0.175,1236865466352.8800,343766697473.00500,5552637318603.420
M4.Teff=3200.logg=5.1.TRgrad=8.5.cmtop=5.cmin=3.7.gz.fits,3200,5.1,0.175,1381658676060.9600,357811289247.5270,5544093566787.4
M4.Teff=3200.logg=5.1.TRgrad=8.5.cmtop=5.cmin=4.7.gz.fits,3200,5.1,0.175,1165162752848.0700,356417467097.3730,5556603824431.790
M4.Teff=3200.logg=5.1.TRgrad=8.5.cmtop=6.5.cmin=3.5.7.gz.fits,3200,5.1,0.175,362414550686.75800,26238003631.051600,134490510385.41200
M4.Teff=3200.logg=5.1.TRgrad=8.5.cmtop=6.5.cmin=3.7.gz.fits,3200,5.1,0.175,369471616594.3400,27669487081.936700,134325276702.64100
M4.Teff=3200.logg=5.1.TRgrad=8.5.cmtop=6.5.cmin=4.5.7.gz.fits,3200,5.1,0.175,258411900731.01300,25107818133.68810,134082503743.62000
M4.Teff=3200.logg=5.1.TRgrad=8.5.cmtop=6.5.cmin=4.7.gz.fits,3200,5.1,0.175,275455830899.03700,22678776360.77400,134290173468.72100
M4.Teff=3200.logg=5.1.TRgrad=8.5.cmtop=6.5.cmin=5.5.7.gz.fits,3200,5.1,0.175,209178941102.28500,15969929980.116300,133758477804.93600
M4.Teff=3200.logg=5.1.TRgrad=8.5.cmtop=6.5.cmin=5.7.gz.fits,3200,5.1,0.175,245207214333.2100,22980564188.246500,134034074523.18500
M4.Teff=3200.logg=5.1.TRgrad=8.5.cmtop=6.cmin=3.5.7.gz.fits,3200,5.1,0.175,489449696017.2030,47944705083.39120,384355526685.3940
M4.Teff=3200.logg=5.1.TRgrad=8.5.cmtop=6.cmin=3.7.gz.fits,3200,5.1,0.175,524991525853.27100,51242248494.25910,383895646163.9880
M4.Teff=3200.logg=5.1.TRgrad=8.5.cmtop=6.cmin=4.5.7.gz.fits,3200,5.1,0.175,384760946268.1110,49637730220.02890,384168599866.5420
M4.Teff=3200.logg=5.1.TRgrad=8.5.cmtop=6.cmin=4.7.gz.fits,3200,5.1,0.175,390026336559.1840,43834606816.19780,384137132705.933
M4.Teff=3200.logg=5.1.TRgrad=8.5.cmtop=6.cmin=5.7.gz.fits,3200,5.1,0.175,346642590326.27600,41192378661.04040,384228830241.7160
M4.Teff=3200.logg=5.1.TRgrad=8.cmtop=5.5.cmin=3.5.7.gz.fits,3200,5.1,0.175,1099583862853.3400,280562899807.7730,4040320619504.9300
M4.Teff=3200.logg=5.1.TRgrad=8.cmtop=5.5.cmin=3.7.gz.fits,3200,5.1,0.175,1154024677694.1500,284095287278.0030,4038502840063.570
M4.Teff=3200.logg=5.1.TRgrad=8.cmtop=5.5.cmin=4.5.7.gz.fits,3200,5.1,0.175,781700036303.085,213629712725.47700,4036907770196.690
M4.Teff=3200.logg=5.1.TRgrad=8.cmtop=5.5.cmin=4.7.gz.fits,3200,5.1,0.175,1064620859088.640,284020545935.403,4040676737875.8400
M4.Teff=3200.logg=5.1.TRgrad=8.cmtop=5.cmin=3.5.7.gz.fits,3200,5.1,0.175,4015803110125.0200,1337885100014.5400,22902517934568.400
M4.Teff=3200.logg=5.1.TRgrad=8.cmtop=5.cmin=3.7.gz.fits,3200,5.1,0.175,4313712103566.5000,1403401249637.9700,22885843417054.300
M4.Teff=3200.logg=5.1.TRgrad=8.cmtop=5.cmin=4.7.gz.fits,3200,5.1,0.175,2394220036366.7800,955689919597.8300,22821527781199.60
M4.Teff=3200.logg=5.1.TRgrad=8.cmtop=6.5.cmin=3.5.7.gz.fits,3200,5.1,0.175,470153308119.50900,53990310204.23980,477385548453.35100
M4.Teff=3200.logg=5.1.TRgrad=8.cmtop=6.5.cmin=3.7.gz.fits,3200,5.1,0.175,496103463533.7000,55765478984.47480,477352437171.49500
M4.Teff=3200.logg=5.1.TRgrad=8.cmtop=6.5.cmin=4.5.7.gz.fits,3200,5.1,0.175,424616925987.19800,57923141726.92160,476943928576.6410
M4.Teff=3200.logg=5.1.TRgrad=8.cmtop=6.5.cmin=4.7.gz.fits,3200,5.1,0.175,419860455308.6840,56224059050.96370,477081114032.6130
M4.Teff=3200.logg=5.1.TRgrad=8.cmtop=6.5.cmin=5.5.7.gz.fits,3200,5.1,0.175,299238658698.52700,30702614523.072600,474797818608.5940
M4.Teff=3200.logg=5.1.TRgrad=8.cmtop=6.5.cmin=5.7.gz.fits,3200,5.1,0.175,350390024998.4140,42638769426.5078,476313106012.7520
M4.Teff=3200.logg=5.1.TRgrad=8.cmtop=6.cmin=3.5.7.gz.fits,3200,5.1,0.175,671345051757.5840,120460704328.321,1440434629569.160
M4.Teff=3200.logg=5.1.TRgrad=8.cmtop=6.cmin=3.7.gz.fits,3200,5.1,0.175,713424532630.8460,122661783381.34100,1439766100684.7000
M4.Teff=3200.logg=5.1.TRgrad=8.cmtop=6.cmin=4.5.7.gz.fits,3200,5.1,0.175,578016711065.96,112899424542.97000,1439237603734.470
M4.Teff=3200.logg=5.1.TRgrad=8.cmtop=6.cmin=4.7.gz.fits,3200,5.1,0.175,628395796671.6930,126374836952.32800,1439613320648.5400
M4.Teff=3200.logg=5.1.TRgrad=8.cmtop=6.cmin=5.7.gz.fits,3200,5.1,0.175,447586568198.2040,81861223167.77720,1437139278153.4300
M4.Teff=3200.logg=5.1.TRgrad=9.cmtop=5.5.cmin=3.5.7.gz.fits,3200,5.1,0.175,529074203717.44100,45975929091.85410,280199436780.8410
M4.Teff=3200.logg=5.1.TRgrad=9.cmtop=5.5.cmin=3.7.gz.fits,3200,5.1,0.175,577327064112.456,51388913095.83040,279847181944.869
M4.Teff=3200.logg=5.1.TRgrad=9.cmtop=5.5.cmin=4.5.7.gz.fits,3200,5.1,0.175,329387815327.52300,35724969618.38450,280734122787.79400
M4.Teff=3200.logg=5.1.TRgrad=9.cmtop=5.5.cmin=4.7.gz.fits,3200,5.1,0.175,385857817373.57700,36699656541.10560,280320831139.36600
M4.Teff=3200.logg=5.1.TRgrad=9.cmtop=5.cmin=3.5.7.gz.fits,3200,5.1,0.175,789016999512.8170,119222987072.34600,1401849954096.0900
M4.Teff=3200.logg=5.1.TRgrad=9.cmtop=5.cmin=3.7.gz.fits,3200,5.1,0.175,930943612007.7300,134130664312.2560,1398877700524.1000
M4.Teff=3200.logg=5.1.TRgrad=9.cmtop=5.cmin=4.7.gz.fits,3200,5.1,0.175,562889736725.452,102759836222.43200,1406036991361.0700
M4.Teff=3200.logg=5.1.TRgrad=9.cmtop=6.5.cmin=3.5.7.gz.fits,3200,5.1,0.175,322553611302.2960,16577016905.116600,40423237306.94270
M4.Teff=3200.logg=5.1.TRgrad=9.cmtop=6.5.cmin=3.7.gz.fits,3200,5.1,0.175,328128411198.42700,17635159439.438000,40382389469.024700
M4.Teff=3200.logg=5.1.TRgrad=9.cmtop=6.5.cmin=4.5.7.gz.fits,3200,5.1,0.175,183827979893.62300,10697111947.637900,40134293179.928600
M4.Teff=3200.logg=5.1.TRgrad=9.cmtop=6.5.cmin=4.7.gz.fits,3200,5.1,0.175,220558171855.57800,11888075361.192800,40241671372.52880
M4.Teff=3200.logg=5.1.TRgrad=9.cmtop=6.5.cmin=5.5.7.gz.fits,3200,5.1,0.175,157119636770.47700,8382579088.3477500,39904794355.15640
M4.Teff=3200.logg=5.1.TRgrad=9.cmtop=6.5.cmin=5.7.gz.fits,3200,5.1,0.175,177296589411.30000,11409205288.829600,40028580821.21850
M4.Teff=3200.logg=5.1.TRgrad=9.cmtop=6.cmin=3.5.7.gz.fits,3200,5.1,0.175,406174855627.2910,28263943232.366000,109387058851.93900
M4.Teff=3200.logg=5.1.TRgrad=9.cmtop=6.cmin=3.7.gz.fits,3200,5.1,0.175,426665344317.49400,30666352764.480900,109331600864.73000
M4.Teff=3200.logg=5.1.TRgrad=9.cmtop=6.cmin=4.5.7.gz.fits,3200,5.1,0.175,239449123233.54400,19922921041.569000,109159627365.56100
M4.Teff=3200.logg=5.1.TRgrad=9.cmtop=6.cmin=4.7.gz.fits,3200,5.1,0.175,286536953554.5810,21516130813.828900,109244235149.78900
M4.Teff=3200.logg=5.1.TRgrad=9.cmtop=6.cmin=5.7.gz.fits,3200,5.1,0.175,231909420299.71500,20881995699.087500,109120171183.56700
