Filename,NUV,FUV,EUV
lte.photo.Teff=2700.logg=4.7.mass=0.08.pout=1e-05.igrains=1.fits,0.05239230613128540,3.99151113940327E-12,3.99028880308719E-38
lte.photo.Teff=2700.logg=4.7.mass=0.18.pout=1e-05.igrains=1.fits,0.052602313928351100,4.02498646232891E-12,4.10230730435225E-38
lte.photo.Teff=2700.logg=5.3.mass=0.08.pout=1e-05.igrains=1.fits,0.022053017368165900,7.34553317658859E-12,3.223519694393E-38
lte.photo.Teff=2700.logg=5.3.mass=0.18.pout=1e-05.igrains=1.fits,0.02227751860223110,7.46818480796462E-12,3.37550953456346E-38
lte.photo.Teff=2700.logg=5.6.mass=0.08.pout=1e-05.igrains=1.fits,0.014045037496327800,9.67338572604985E-12,3.43333512002827E-38
lte.photo.Teff=2700.logg=5.6.mass=0.18.pout=1e-05.igrains=1.fits,0.014448891598108800,9.91369101269752E-12,4.11337414176917E-38
lte.photo.Teff=2700.logg=5.mass=0.08.pout=1e-05.igrains=1.fits,0.03457519556120080,5.99892779604137E-12,3.75620495543536E-38
lte.photo.Teff=2700.logg=5.mass=0.18.pout=1e-05.igrains=1.fits,0.03472457184695540,6.07141373035195E-12,3.81765740887069E-38
lte.photo.Teff=2750.logg=4.4.mass=0.08.pout=1e-05.igrains=1.fits,0.12364218744771900,6.60467514856758E-12,2.87842747750824E-36
lte.photo.Teff=2750.logg=4.4.mass=0.18.pout=1e-05.igrains=1.fits,0.12412322598145700,6.66847607857835E-12,3.12059038761712E-36
lte.photo.Teff=2750.logg=4.7.mass=0.08.pout=1e-05.igrains=1.fits,0.08633304932529400,8.29835693893769E-12,2.58309287904513E-36
lte.photo.Teff=2750.logg=4.7.mass=0.18.pout=1e-05.igrains=1.fits,0.08658878584783270,8.32925131843207E-12,2.73663650561552E-36
lte.photo.Teff=2750.logg=5.3.mass=0.08.pout=1e-05.igrains=1.fits,0.03827243012588440,1.40782770255793E-11,2.85115264540833E-36
lte.photo.Teff=2750.logg=5.3.mass=0.18.pout=1e-05.igrains=1.fits,0.03866399556392830,1.42663817918846E-11,3.1121940687617E-36
lte.photo.Teff=2750.logg=5.6.mass=0.08.pout=1e-05.igrains=1.fits,0.02523748184222630,1.89804836063412E-11,3.35980985276394E-36
lte.photo.Teff=2750.logg=5.6.mass=0.18.pout=1e-05.igrains=1.fits,0.025975697652928400,1.95277165673299E-11,4.10333446418026E-36
lte.photo.Teff=2750.logg=5.mass=0.08.pout=1e-05.igrains=1.fits,0.0590178147971834,1.20122480674972E-11,2.84055237453296E-36
lte.photo.Teff=2750.logg=5.mass=0.18.pout=1e-05.igrains=1.fits,0.059206303028538800,1.2069845212916E-11,2.98844870990832E-36
lte.photo.Teff=2800.logg=4.4.mass=0.08.pout=1e-05.igrains=1.fits,0.1942909646877190,1.68569706800424E-11,1.20661586498586E-34
