Filename,Teff,Logg,Mass,NUV,FUV,EUV
Teff=2900.logg=5.22.TRgrad=8.cmtop=5.cmin=3.5.7.g,2900,5.22,0.11,2509536074402.180,995007000239.5350,19915231920693.20
Teff=2900.logg=5.22.TRgrad=8.cmtop=5.cmin=3.7.g,2900,5.22,0.11,2921993201309.9500,1082105551718.7700,19918246983140.700
Teff=2900.logg=5.22.TRgrad=8.cmtop=5.cmin=4.7.g,2900,5.22,0.11,1238586557920.180,709234037903.4630,19839521189419.40
Teff=2900.logg=5.22.TRgrad=8.cmtop=6.5.cmin=3.5.7.g,2900,5.22,0.11,179801050053.03100,36187049228.60750,378551161972.6590
Teff=2900.logg=5.22.TRgrad=8.cmtop=6.5.cmin=3.7.g,2900,5.22,0.11,199546611673.12300,36024987388.55450,378574992853.2720
Teff=2900.logg=5.22.TRgrad=8.cmtop=6.5.cmin=4.5.7.g,2900,5.22,0.11,115303609448.27700,30180475091.95350,378121241539.7600
Teff=2900.logg=5.22.TRgrad=8.cmtop=6.5.cmin=4.7.g,2900,5.22,0.11,167614394626.28300,39469268291.01390,378214857799.35200
Teff=2900.logg=5.22.TRgrad=8.cmtop=6.5.cmin=5.5.7.g,2900,5.22,0.11,45430036680.67680,15211297624.44620,376536829275.1490
Teff=2900.logg=5.22.TRgrad=8.cmtop=6.5.cmin=5.7.g,2900,5.22,0.11,67297161925.89030,20285505917.45190,377540799550.7710
Teff=2900.logg=5.22.TRgrad=8.cmtop=6.cmin=3.5.7.g,2900,5.22,0.11,369251063716.0850,114369162848.43800,1595047897287.0000
Teff=2900.logg=5.22.TRgrad=8.cmtop=6.cmin=3.7.g,2900,5.22,0.11,402411784656.60000,113379845358.97300,1593808218403.240
Teff=2900.logg=5.22.TRgrad=8.cmtop=6.cmin=4.5.7.g,2900,5.22,0.11,207937107786.70700,86080125719.37480,1592843301931.490
Teff=2900.logg=5.22.TRgrad=8.cmtop=6.cmin=4.7.g,2900,5.22,0.11,340209563474.76800,113828152433.03300,1594232667971.6300
Teff=2900.logg=5.22.TRgrad=8.cmtop=6.cmin=5.7.g,2900,5.22,0.11,109556273368.2180,59353666670.25940,1590640966011.3700
Teff=2900.logg=5.22.TRgrad=9.cmtop=5.5.cmin=3.5.7.g,2900,5.22,0.11,242650148074.77800,35365874668.91300,394640644647.17200
Teff=2900.logg=5.22.TRgrad=9.cmtop=5.5.cmin=3.7.g,2900,5.22,0.11,314497717639.6230,39619067658.336600,394422623908.2840
Teff=2900.logg=5.22.TRgrad=9.cmtop=5.5.cmin=4.5.7.g,2900,5.22,0.11,119862960133.76600,34059915593.874200,395901140665.02200
Teff=2900.logg=5.22.TRgrad=9.cmtop=5.5.cmin=4.7.g,2900,5.22,0.11,129383788441.90200,29595503726.640400,395434952581.7270
Teff=2900.logg=5.22.TRgrad=9.cmtop=5.cmin=3.5.7.g,2900,5.22,0.11,356022076428.8600,81294335620.4129,1231026052151.1200
Teff=2900.logg=5.22.TRgrad=9.cmtop=5.cmin=3.7.g,2900,5.22,0.11,485212274419.1810,90252417370.57860,1228756641002.6000
Teff=2900.logg=5.22.TRgrad=9.cmtop=5.cmin=4.7.g,2900,5.22,0.11,193119804997.37400,73619551939.47330,1234147541718.750
Teff=2900.logg=5.22.TRgrad=9.cmtop=6.5.cmin=3.5.7.g,2900,5.22,0.11,113822484291.95800,6887518329.3485,32062788644.370000
Teff=2900.logg=5.22.TRgrad=9.cmtop=6.5.cmin=3.7.g,2900,5.22,0.11,134038763945.51600,7781320559.810550,32085494685.58190
Teff=2900.logg=5.22.TRgrad=9.cmtop=6.5.cmin=4.5.7.g,2900,5.22,0.11,61205349441.42220,6069722834.914890,31908288269.72480
Teff=2900.logg=5.22.TRgrad=9.cmtop=6.5.cmin=4.7.g,2900,5.22,0.11,69363596326.22350,5225866836.080900,31981647201.39060
Teff=2900.logg=5.22.TRgrad=9.cmtop=6.5.cmin=5.5.7.g,2900,5.22,0.11,40092074621.83760,3412852322.0930800,31800421412.60190
Teff=2900.logg=5.22.TRgrad=9.cmtop=6.5.cmin=5.7.g,2900,5.22,0.11,49949058272.482500,4925035035.3536600,31857564892.012100
Teff=2900.logg=5.22.TRgrad=9.cmtop=6.cmin=3.5.7.g,2900,5.22,0.11,166865292545.494,15704022532.015100,118198606980.0630
Teff=2900.logg=5.22.TRgrad=9.cmtop=6.cmin=3.7.g,2900,5.22,0.11,205789974460.9310,17748827505.316200,118083445075.26500
Teff=2900.logg=5.22.TRgrad=9.cmtop=6.cmin=4.5.7.g,2900,5.22,0.11,80954582711.49970,13914627514.152700,118051738142.83800
Teff=2900.logg=5.22.TRgrad=9.cmtop=6.cmin=4.7.g,2900,5.22,0.11,93893398361.5381,12318486027.789700,118060927483.5320
Teff=2900.logg=5.22.TRgrad=9.cmtop=6.cmin=5.7.g,2900,5.22,0.11,64528039974.08170,11654707148.400600,118155771810.58800
