target,st_spectype,st_teff,ra,dec,calib_level,obs_collection,obs_id,target_name,s_ra,s_dec,t_min,t_exptime,wavelength_region,filters,target_classification,t_obs_release,instrument_name,project,distance
HD 100655,,4891,173.7653631,20.441541,2,GALEX,3.19158E+18,GI5_063015_A1367_FIELD4,174.4127457,20.35564633,54948.60286,1661.05,UV,FUV,,55310.11486,GALEX,GII,0
Kepler-960,,4508.31,281.4572217,46.7465538,2,GALEX,3.73025E+18,MISKEP_10652_0009,281.0364939,46.95684106,55732.4656,867.55,UV,NUV,,55992.22476,GALEX,MIS,0
TOI-431,,4891,83.2692502,-26.7238698,2,GALEX,3.97263E+18,MISGCSS1_28153_0306,83.34704992,-26.4332822,55917.09477,1897.05,UV,NUV,,55993.11642,GALEX,MIS,0
Kepler-16,,4450,289.0758307,51.757229,2,GALEX,6.37123E+18,AIS_9_1_3,289.6155596,52.06613009,55814.21205,109,UV,NUV,,56188.99278,GALEX,AIS,0
Kepler-662,,4852.86,290.4650801,47.9291252,2,GALEX,6.37123E+18,AIS_9_1_34,290.8948237,47.90650028,53984.63753,207,UV,NUV,,55355.92146,GALEX,AIS,0
Kepler-662,,4852.86,290.4650801,47.9291252,2,GALEX,6.37123E+18,AIS_9_1_34,290.8948237,47.90650028,53984.63753,207,UV,FUV,,55355.92146,GALEX,AIS,0
WASP-59,K5 V,4650,349.6229547,24.889277,2,GALEX,6.37602E+18,AIS_145_1_8,349.0011893,24.66179481,54010.46214,220,UV,NUV,,55414.31561,GALEX,AIS,0
WASP-59,K5 V,4650,349.6229547,24.889277,2,GALEX,6.37602E+18,AIS_145_1_8,349.0011893,24.66179481,54010.46214,220,UV,FUV,,55414.31561,GALEX,AIS,0
gam1 Leo,,4330,154.993208,19.841389,2,GALEX,6.38263E+18,AIS_333_1_30,154.7901316,19.94118169,55961.37486,112,UV,NUV,,56189.54758,GALEX,AIS,0
HD 222076,K0 III,4806,354.531982,-70.9032461,2,GALEX,6.38425E+18,AIS_379_1_69,355.2878081,-70.36353304,52855.52964,445,UV,NUV,,55368.61108,GALEX,AIS,0
HD 222076,K0 III,4806,354.531982,-70.9032461,2,GALEX,6.38425E+18,AIS_379_1_69,355.2878081,-70.36353304,52855.52964,445,UV,FUV,,55368.61108,GALEX,AIS,0
