Filename,NUV,FUV,EUV
Teff=3850.logg=4.78.TRgrad=8.cmtop=6.5.cmin=5.5.7.g,10063338880.243900,14598203674.917800,385918588917.9350
Teff=3850.logg=4.78.TRgrad=8.cmtop=6.5.cmin=5.7.g,30795019837.19990,18200833922.198100,390039670157.7370
Teff=3850.logg=4.78.TRgrad=8.cmtop=6.cmin=3.5.7.g,316504742476.1380,103440710083.78700,1337958732043.1800
Teff=3850.logg=4.78.TRgrad=8.cmtop=6.cmin=3.7.g,404468871810.14700,120269937919.13100,1338643442267.700
Teff=3850.logg=4.78.TRgrad=8.cmtop=6.cmin=4.5.7.g,100794978369.36100,58093485316.19850,1334323366354.8200
Teff=3850.logg=4.78.TRgrad=8.cmtop=6.cmin=4.7.g,172752753926.0240,74893172120.62720,1336200488330.9900
Teff=3850.logg=4.78.TRgrad=8.cmtop=6.cmin=5.7.g,57169212151.78690,49441803611.413800,1330683986292.4400
Teff=3850.logg=4.78.TRgrad=9.cmtop=5.5.cmin=3.5.7.g,117488144437.12900,29344643890.958700,325029931663.16200
Teff=3850.logg=4.78.TRgrad=9.cmtop=5.5.cmin=3.7.g,161996208229.55800,30277962196.003100,324839272652.1320
Teff=3850.logg=4.78.TRgrad=9.cmtop=5.5.cmin=4.5.7.g,92076910806.02170,30262882431.00840,325287183460.21500
Teff=3850.logg=4.78.TRgrad=9.cmtop=5.5.cmin=4.7.g,118021330098.47000,35416099120.55890,325194247424.86800
Teff=3850.logg=4.78.TRgrad=9.cmtop=5.cmin=3.5.7.g,277046873356.247,111437922672.16800,1650989249975.2300
Teff=3850.logg=4.78.TRgrad=9.cmtop=5.cmin=3.7.g,354390876801.94300,111878202623.8280,1648688023000.7800
Teff=3850.logg=4.78.TRgrad=9.cmtop=5.cmin=4.7.g,342762365886.7690,131359299415.59800,1654256907341.090
Teff=3850.logg=4.78.TRgrad=9.cmtop=6.5.cmin=3.5.7.g,44142240307.61550,6336543566.759270,34893298834.895300
Teff=3850.logg=4.78.TRgrad=9.cmtop=6.5.cmin=3.7.g,59566308076.82320,6059274417.497100,34927163022.64070
Teff=3850.logg=4.78.TRgrad=9.cmtop=6.5.cmin=4.5.7.g,27656382767.574800,5732281762.224110,34718718768.302500
Teff=3850.logg=4.78.TRgrad=9.cmtop=6.5.cmin=4.7.g,39925736395.12230,7347734889.153430,34800838238.016000
Teff=3850.logg=4.78.TRgrad=9.cmtop=6.5.cmin=5.5.7.g,7532242196.051370,2576824289.0077500,34372107105.75140
Teff=3850.logg=4.78.TRgrad=9.cmtop=6.5.cmin=5.7.g,18687739504.805400,4307241355.130150,34641738115.6247
Teff=3850.logg=4.78.TRgrad=9.cmtop=6.cmin=3.5.7.g,71419499679.6596,12984310113.519800,106304534657.12900
Teff=3850.logg=4.78.TRgrad=9.cmtop=6.cmin=3.7.g,98433227073.70420,13237731749.239100,106298938773.44300
Teff=3850.logg=4.78.TRgrad=9.cmtop=6.cmin=4.5.7.g,51283766540.88620,13215536863.414200,106111818814.75200
Teff=3850.logg=4.78.TRgrad=9.cmtop=6.cmin=4.7.g,68049935024.985600,15711033822.277400,106153429837.22400
Teff=3850.logg=4.78.TRgrad=9.cmtop=6.cmin=5.7.g,33326159840.671700,9971355642.696660,105924165922.35700
