Filename,NUV,FUV,EUV
Teff=3200.logg=4.5.mass=0.262,533123583.97928700,94.60337114840330,3.1377283948182E-12
Teff=3200.logg=4.55.mass=0.262,529694428.57171,97.42601553889700,3.27674710613188E-12
Teff=3200.logg=4.6.mass=0.262,525712984.04974000,100.2435029917120,3.40933679246055E-12
Teff=3200.logg=4.65.mass=0.262,521224613.1955340,103.09514780939100,3.53856353817663E-12
Teff=3200.logg=4.7.mass=0.262,521013836.8522550,109.15902552234800,3.94375488058849E-12
Teff=3200.logg=4.75.mass=0.262,514516714.6057650,111.43763297148700,4.00408900781126E-12
Teff=3200.logg=4.8.mass=0.262,507570081.746484,113.79521003161700,4.05908871963039E-12
Teff=3200.logg=4.85.mass=0.262,444029537.73883000,84.40206762520840,1.6807210208953E-12
Teff=3200.logg=4.9.mass=0.262,437200583.6848110,86.47581392159250,1.71431435564492E-12
Teff=3200.logg=4.95.mass=0.262,430053119.4804180,88.55709382869980,1.7413508203321E-12
Teff=3200.logg=5.05.mass=0.262,415124514.08613000,92.73250533036680,1.78629142053548E-12
Teff=3200.logg=5.1.mass=0.262,407383544.88689400,94.8132981955169,1.80124649286996E-12
Teff=3200.logg=5.15.mass=0.262,399447914.6239820,96.90848716603300,1.81313470662972E-12
Teff=3200.logg=5.2.mass=0.262,391450149.4785710,99.00539931906860,1.82029022565678E-12
Teff=3200.logg=5.mass=0.262,422695388.2714820,90.64125400442130,1.76541256357536E-12
Teff=3210.logg=4.5.mass=0.262,568965867.4749360,118.12342780765700,5.50903451624505E-12
Teff=3210.logg=4.55.mass=0.262,565624321.5753910,121.33628921015800,5.71699005211343E-12
Teff=3210.logg=4.6.mass=0.262,561823588.8250190,124.67029721648600,5.92702026609367E-12
Teff=3210.logg=4.65.mass=0.262,557371867.2169010,127.99383808299500,6.12421068127851E-12
Teff=3210.logg=4.7.mass=0.262,557475580.9236000,135.33727087777800,6.80070462812534E-12
Teff=3210.logg=4.75.mass=0.262,550820364.7500990,137.93808970035900,6.87568106659164E-12
