Model,F_EUV,F_FUV,F_NUV,F_J,Mass
M4.Teff=3200.logg=5.1.TRgrad=8.cmtop=5.cmin=4.7.gz.fits,268123.48,4868.3500,22563.232,257062.68,0.175
M4.Teff=3200.logg=5.1.TRgrad=8.cmtop=6.5.cmin=3.5.7.gz.fits,5635.2013,375.22288,4939.1949,287861.75,0.175
M4.Teff=3200.logg=5.1.TRgrad=8.cmtop=6.5.cmin=3.7.gz.fits,5634.4890,394.64944,5203.7294,287886.50,0.175
M4.Teff=3200.logg=5.1.TRgrad=8.cmtop=6.5.cmin=4.5.7.gz.fits,5634.3150,371.18245,4107.4982,287824.00,0.175
M4.Teff=3200.logg=5.1.TRgrad=8.cmtop=6.5.cmin=4.7.gz.fits,5634.8670,358.69643,4176.3793,287880.69,0.175
M4.Teff=3200.logg=5.1.TRgrad=8.cmtop=6.5.cmin=5.5.7.gz.fits,5615.6503,171.65039,2919.7133,288049.02,0.175
M4.Teff=3200.logg=5.1.TRgrad=8.cmtop=6.5.cmin=5.7.gz.fits,5633.7790,258.26965,3393.6073,287975.41,0.175
M4.Teff=3200.logg=5.1.TRgrad=8.cmtop=6.cmin=3.5.7.gz.fits,17021.309,746.92170,6846.2424,281901.86,0.175
M4.Teff=3200.logg=5.1.TRgrad=8.cmtop=6.cmin=3.7.gz.fits,17009.491,773.03572,7280.6326,281846.62,0.175
M4.Teff=3200.logg=5.1.TRgrad=8.cmtop=6.cmin=4.5.7.gz.fits,17028.904,661.72051,5538.1425,281834.08,0.175
M4.Teff=3200.logg=5.1.TRgrad=8.cmtop=6.cmin=4.7.gz.fits,17017.274,756.60733,6100.8744,281769.79,0.175
M4.Teff=3200.logg=5.1.TRgrad=8.cmtop=6.cmin=5.7.gz.fits,17002.688,425.46136,4300.8578,281989.02,0.175
M4.Teff=3200.logg=5.1.TRgrad=9.cmtop=5.5.cmin=3.5.7.gz.fits,3289.1698,414.51607,5902.1185,290484.62,0.175
M4.Teff=3200.logg=5.1.TRgrad=9.cmtop=5.5.cmin=3.7.gz.fits,3285.9926,472.76979,6412.7407,290434.66,0.175
M4.Teff=3200.logg=5.1.TRgrad=9.cmtop=5.5.cmin=4.7.gz.fits,3296.0592,292.47827,4145.9140,290589.34,0.175
M4.Teff=3200.logg=5.1.TRgrad=9.cmtop=5.cmin=3.5.7.gz.fits,16535.445,849.09592,8624.7961,282469.18,0.175
M4.Teff=3200.logg=5.1.TRgrad=9.cmtop=5.cmin=3.7.gz.fits,16496.878,1008.8169,10080.663,282259.07,0.175
M4.Teff=3200.logg=5.1.TRgrad=9.cmtop=5.cmin=4.7.gz.fits,16598.434,642.97927,5880.8661,282627.46,0.175
M4.Teff=3200.logg=5.1.TRgrad=9.cmtop=6.cmin=4.7.gz.fits,1280.1040,190.88491,3102.8166,293231.65,0.175
